Date,AIDS,Chlamydia_trachomatis_infection,Gonorrhea,HIV_infection,Zika
2004-1,2,169,12,2,NA
2004-2,8,207,22,6,NA
2004-3,10,245,19,6,NA
2004-4,2,234,11,7,NA
2004-5,7,215,25,3,NA
2004-6,2,215,25,9,NA
2004-7,3,175,22,7,NA
2004-8,13,246,27,8,NA
2004-9,8,210,23,4,NA
2004-10,3,201,26,5,NA
2004-11,7,208,26,5,NA
2004-12,6,204,36,5,NA
2005-1,6,193,25,8,NA
2005-2,1,192,21,3,NA
2005-3,3,258,37,3,NA
2005-4,6,244,26,6,NA
2005-5,7,167,34,3,NA
2005-6,6,198,20,3,NA
2005-7,3,214,32,3,NA
2005-8,9,243,25,9,NA
2005-9,6,255,32,6,NA
2005-10,2,226,34,4,NA
2005-11,5,187,57,6,NA
2005-12,8,204,17,2,NA
2006-1,1,184,26,1,NA
2006-2,3,209,45,5,NA
2006-3,9,284,28,4,NA
2006-4,2,233,23,2,NA
2006-5,1,187,20,3,NA
2006-6,5,270,36,5,NA
2006-7,0,161,16,5,NA
2006-8,7,227,35,0,NA
2006-9,4,254,24,2,NA
2006-10,1,226,43,4,NA
2006-11,0,214,27,2,NA
2006-12,5,220,27,3,NA
2007-1,1,144,26,7,NA
2007-2,6,243,37,8,NA
2007-3,11,291,29,6,NA
2007-4,9,249,22,6,NA
2007-5,7,238,29,5,NA
2007-6,2,229,26,9,NA
2007-7,9,251,29,6,NA
2007-8,14,283,32,9,NA
2007-9,4,257,37,9,NA
2007-10,32,229,50,13,NA
2007-11,27,203,34,3,NA
2007-12,10,337,43,8,NA
2008-1,1,309,62,1,NA
2008-2,9,277,45,3,NA
2008-3,5,237,39,5,NA
2008-4,4,265,44,7,NA
2008-5,0,289,48,6,NA
2008-6,3,269,39,4,NA
2008-7,3,252,41,6,NA
2008-8,7,294,51,3,NA
2008-9,3,292,45,3,NA
2008-10,13,312,50,5,NA
2008-11,5,264,29,3,NA
2008-12,5,275,48,7,NA
2009-1,2,280,30,6,NA
2009-2,1,300,43,3,NA
2009-3,1,332,37,10,NA
2009-4,5,320,35,3,NA
2009-5,2,250,44,8,NA
2009-6,0,291,52,2,NA
2009-7,8,290,35,8,NA
2009-8,6,261,42,3,NA
2009-9,2,300,66,23,NA
2009-10,7,271,56,7,NA
2009-11,7,249,37,4,NA
2009-12,5,281,33,11,NA
2010-1,2,366,59,3,NA
2010-2,7,280,54,13,NA
2010-3,3,387,62,14,NA
2010-4,0,336,43,8,NA
2010-5,1,407,72,11,NA
2010-6,1,391,61,2,NA
2010-7,0,332,54,9,NA
2010-8,0,297,65,5,NA
2010-9,0,379,80,7,NA
2010-10,1,251,67,10,NA
2010-11,1,270,51,5,NA
2010-12,1,419,85,13,NA
2011-1,1,300,77,5,NA
2011-2,1,423,78,6,NA
2011-3,2,439,60,7,NA
2011-4,1,339,76,7,NA
2011-5,0,448,78,9,NA
2011-6,1,396,57,11,NA
2011-7,0,344,56,10,NA
2011-8,1,320,56,1,NA
2011-9,0,404,53,10,NA
2011-10,0,341,38,4,NA
2011-11,1,327,41,4,NA
2011-12,1,247,49,6,NA
2012-1,0,316,50,2,NA
2012-2,2,228,32,7,NA
2012-3,0,205,36,3,NA
2012-4,2,1073,193,15,NA
2012-5,1,445,93,16,NA
2012-6,0,370,60,12,NA
2012-7,3,499,90,14,NA
2012-8,2,442,68,18,NA
2012-9,0,395,58,6,NA
2012-10,1,497,102,6,NA
2012-11,0,400,56,0,NA
2012-12,1,388,50,3,NA
2013-1,3,581,76,9,NA
2013-2,7,481,62,5,NA
2013-3,1,1053,146,12,NA
2013-4,0,480,76,9,NA
2013-5,0,372,35,11,NA
2013-6,2,432,55,3,NA
2013-7,1,452,49,4,NA
2013-8,0,455,65,4,NA
2013-9,0,385,53,2,NA
2013-10,0,465,97,10,NA
2013-11,1,363,62,5,NA
2013-12,1,406,82,6,NA
2014-1,3,389,85,4,NA
2014-2,1,441,50,12,NA
2014-3,0,454,42,9,NA
2014-4,1,487,66,8,NA
2014-5,1,344,48,7,NA
2014-6,2,502,72,10,NA
2014-7,1,373,59,5,NA
2014-8,1,388,44,1,NA
2014-9,0,443,49,6,NA
2014-10,0,325,34,9,NA
2014-11,0,314,47,9,NA
2014-12,0,266,41,8,NA
2015-1,0,417,51,6,NA
2015-2,0,395,51,4,NA
2015-3,2,414,51,16,NA
2015-4,1,471,48,14,NA
2015-5,0,407,41,15,NA
2015-6,1,353,44,8,NA
2015-7,0,340,24,10,NA
2015-8,0,318,32,9,NA
2015-9,0,322,52,4,NA
2015-10,0,346,33,9,NA
2015-11,0,313,42,13,NA
2015-12,0,341,34,7,NA
2016-1,0,458,52,7,0
2016-2,0,634,46,4,0
2016-3,0,415,51,10,0
2016-4,1,206,22,9,0
2016-5,0,345,37,10,0
2016-6,0,403,45,10,0
2016-7,0,399,36,9,0
2016-8,3,413,46,12,2
2016-9,3,489,35,10,1
2016-10,3,411,20,9,0
2016-11,2,479,34,8,0
2016-12,3,483,30,9,0
2017-1,3,532,43,10,0
2017-2,2,483,31,8,0
2017-3,1,556,36,9,0
2017-4,0,515,38,7,0
2017-5,1,525,34,10,0
2017-6,1,506,39,10,0
2017-7,1,485,30,7,0
2017-8,0,674,160,13,0
2017-9,0,449,81,11,0
2017-10,1,395,62,7,0
2017-11,2,318,51,8,0
2017-12,2,327,52,13,0
